gains_matrix_front1,gains_matrix_front2,gains_matrix_front3,gains_matrix_front4,gains_matrix_front5,gains_matrix_front6
2138.4,1.25,0.257411854696764,0.00278949636800198,1.14244362538212,0.00733626827750646
2138.4,2.5,0.223534843111064,0.00490612058699291,1.04393671492938,0.0132350068247123
2138.4,5,0.181872627766109,0.00786883014932161,0.866217930219077,0.0214453333242555
2138.4,7.5,0.146006679352019,0.0093559212458393,0.722758041451825,0.0259946351341172
2138.4,10,0.118991329101608,0.0101067921929147,0.632815185285006,0.0291324767526596
2138.4,12.5,0.0997227814828734,0.0106155976695665,0.58170381944783,0.0321133447136134
2138.4,15,0.0869328637739443,0.0113888516053905,0.577528200040919,0.0368670280229689
2138.4,17.5,0.0787115266300329,0.0127338568176702,0.619603771680894,0.0448822703725299
2138.4,20,0.070514275003596,0.013193153851377,0.604118881901448,0.0486257558327789
2138.4,22.5,0.0635956290721953,0.0133789007796577,0.578952718939174,0.0510213865817538
2138.4,25,0.0573027529716418,0.0131246393162732,0.53732141488724,0.0511136618408127
2138.4,27.5,0.0526700211296828,0.0132376899767347,0.519585225204707,0.0531208565059127
2138.4,30,0.0488386623980579,0.0133712957807001,0.505399858457577,0.0552066197029058
2138.4,32.5,0.04395353400616,0.0130756322500843,0.47747893634699,0.0555202186005252
