gains_matrix_front1,gains_matrix_front2,gains_matrix_front3,gains_matrix_front4,gains_matrix_front5,gains_matrix_front6,gains_matrix_front7,gains_matrix_front8
7870,1.25,0,0.146009165939918,0.0048310641120281,0.574303644665307,0.0280036040174302,0
7870,2.5,0,0.119640520175964,0.00813668699642059,0.631734712730415,0.0513102396753913,0
7870,5,0,0.105051420238708,0.0141969047612575,0.734573937268788,0.0977050123598708,0
7870,7.5,0,0.10050480429918,0.0194719281112801,0.822467297020071,0.141347087742843,0
7870,10,0,0.0985276300046634,0.0238896522965399,0.895833775308018,0.180367564089697,0
7870,12.5,0,0.0975016500228259,0.0275326569414113,0.956887775455294,0.214517576445697,0
7870,15,0,0.0969018613486318,0.0305373292671528,1.00815329319803,0.244275753101219,0
7870,17.5,0,0.0965194450189942,0.0330345331658035,1.05179297258418,0.270300733303951,0
7870,20,0,0.0962593250298074,0.0351320750933898,1.08949279923244,0.293217338167743,0
7870,22.5,0,0.0960735867408834,0.0369140288151731,1.12252631926882,0.313556295016662,0
7870,25,0,0.0959360440630815,0.0384447896405234,1.15184948259775,0.331750455248717,0
7870,27.5,0,0.0958313953562289,0.0397735790304698,1.17818313154843,0.34814802265714,0
7870,30,0,0.0957501804471075,0.0409382171194617,1.20207587767822,0.363028585244483,0
7870,32.5,0,0.0956862620551429,0.0419680120626763,1.22394990871972,0.376617468286369,0
