gains_matrix_front1,gains_matrix_front2,gains_matrix_front3,gains_matrix_front4,gains_matrix_front5,gains_matrix_front6,gains_matrix_front7
2138.4,1.25,0.23010012599016,0.102412557712148,1.0691837197873,0.35842540528839,0.511725728848815
2138.4,2.5,0.228198654200682,0.0694442540688203,1.10250678927084,0.285352232866929,0.295969392807766
2138.4,5,0.228334112709891,0.0515736319699343,0.977351887086468,0.237630020537165,0.223743480272377
2138.4,7.5,0.231070617677754,0.0472818574228964,0.837389431191837,0.22715678558263,0.2165122343863
2138.4,10,0.234139839443237,0.0472804794832926,0.844029754295738,0.230415623464113,0.233984311106475
2138.4,12.5,0.240077910230218,0.0470173204755724,0.674717458947093,0.233904614554887,0.227370572489103
2138.4,15,0.249666755990788,0.0515436673419492,0.48434264309084,0.291022846711187,0.228727535876806
2138.4,17.5,0.19700373249565,0.0471002695887289,0.391566618610977,0.287308589606933,0.18114270590731
2138.4,20,0.167046760301252,0.0411067393669497,0.289265042586008,0.252926598073315,0.14273372973091
2138.4,22.5,0.147692870546147,0.0413077492739135,0.258363132084267,0.284949117141588,0.134798166490016
2138.4,25,0.0779105567195783,0.0258252651373624,0.152038180010569,0.16988756776545,0.0615680697748409
2138.4,27.5,0.0598288062623624,0.0216094646565052,0.122794213126844,0.140929591452285,0.0451429145689276
2138.4,30,0.0416808735576405,0.0172304337833488,0.0933218632339377,0.111502469157438,0.029760028575857
2138.4,32.5,0.0337957235948636,0.0151611529363099,0.0792609314874765,0.0980681222286968,0.023635720176158
