gains_matrix_front1,gains_matrix_front2,gains_matrix_front3,gains_matrix_front4,gains_matrix_front5,gains_matrix_front6,gains_matrix_front7
2138.4,1.25,0.23010012599016,0.102412557712148,1.0691837197873,0.35842540528839,0.511725728848815
2138.4,2.5,0.228198654200682,0.0694442540688203,1.10250678927084,0.285352232866929,0.295969392807766
2138.4,5,0.228334112709891,0.0515736319699343,0.977351887086468,0.237630020537165,0.223743480272377
2138.4,7.5,0.231070617677754,0.0472818574228964,0.837389431191837,0.22715678558263,0.2165122343863
2138.4,10,0.234139839443237,0.0472804794832926,0.844029754295738,0.230415623464113,0.233984311106475
2138.4,12.5,0.240077910230218,0.0470173204755724,0.674717458947093,0.233904614554887,0.227370572489103
2138.4,15,0.248266820318168,0.0470606641734239,0.481776876804614,0.239421898478584,0.214164876175598
2138.4,17.5,0.196407451465462,0.0419463847621067,0.390099599384591,0.222023118108195,0.165498146950212
2138.4,20,0.166768180839005,0.0374282457112901,0.288248556444494,0.203485700097072,0.132624574397437
2138.4,22.5,0.147303941514315,0.0348527569879176,0.256574886501252,0.192476043371483,0.117624001481377
2138.4,25,0.0775635334902949,0.0231537680403824,0.151232288483228,0.135043538644041,0.0555422480418968
2138.4,27.5,0.059629932813827,0.019855155022639,0.122321077508579,0.118254885421928,0.0415092322178183
2138.4,30,0.0415851117138853,0.0162187073281508,0.0931065500703221,0.0988699032708728,0.0278931943097917
2138.4,32.5,0.0337363773122707,0.0144462025069531,0.0791251748762658,0.0891991098466633,0.0224071237366106
